City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,naze,28.3667,129.4833,20.51,81,31,5.95,JP,1682283136
191,brasilia de minas,-16.2064,-44.4333,23.08,62,85,2.68,BR,1682283136
192,aasiaat,68.7098,-52.8699,0.32,98,100,5.13,GL,1682283136
193,fort mcmurray,56.7268,-111.381,11.77,28,20,8.23,CA,1682283136
194,thunder bay,48.4001,-89.3168,0.99,55,100,2.06,CA,1682282902
195,sen monorom,12.45,107.2,20.09,82,32,0.64,KH,1682283137
196,kenai,60.5544,-151.2583,1.05,47,75,9.77,US,1682283137
197,villa gesell,-37.2639,-56.973,17.81,80,44,4.53,AR,1682283137
198,walvis bay,-22.9575,14.5053,18.53,72,100,3.6,NA,1682283137
199,lebu,-37.6167,-73.65,13.78,77,0,5.99,CL,1682282894
200,karakocan,38.9558,40.0386,9.93,89,46,1.76,TR,1682283138
201,homer,59.6425,-151.5483,0.94,61,100,4.92,US,1682283138
202,invercargill,-46.4,168.35,11.68,82,85,0.89,NZ,1682282859
203,keflavik,64.0049,-22.5624,5.95,70,0,2.06,IS,1682283139
204,turpan,42.9333,89.1667,14.06,23,0,1.3,CN,1682283139
205,puerto ayora,-0.7393,-90.3518,29.98,86,69,3.58,EC,1682283139
206,sonargaon,23.6422,90.6023,24.03,74,13,1.57,BD,1682283140
207,khamis mushait,18.3064,42.7292,18.34,39,0,3.09,SA,1682282957
208,uberlandia,-18.9186,-48.2772,24.56,60,75,3.09,BR,1682283140
209,petrovsk,52.3064,45.3917,11.13,52,68,2.01,RU,1682283140
210,freetown,8.484,-13.2299,27.06,78,0,4.67,SL,1682283140
211,kutum,14.2,24.6667,27.97,14,25,2.85,SD,1682283141
212,nemuro,43.3236,145.575,1.81,82,47,4.48,JP,1682283141
213,acapulco de juarez,16.8634,-99.8901,30.9,62,0,5.66,MX,1682283141
214,udachny,66.4167,112.4,-13.03,99,100,0.88,RU,1682283141
215,faya-largeau,17.9257,19.1043,32.31,9,1,3.45,TD,1682283142
216,jabor,5.921,169.6434,28.17,81,96,8.99,MH,1682283142
217,mollendo,-17.0231,-72.0147,22.18,78,7,4.73,PE,1682283142
218,alice springs,-23.7,133.8833,8.75,87,0,2.36,AU,1682283143
219,ceres,37.5949,-120.9577,25.68,49,0,6.17,US,1682283143
220,barclayville,4.6797,-8.2339,25.97,89,93,1.49,LR,1682283143
221,newala kisimani,-10.95,39.2833,19.3,98,10,1.46,TZ,1682283143
222,enewetak,11.3474,162.3373,27.09,84,93,8.59,MH,1682283143
223,bushehr,28.9684,50.8385,23.05,64,0,2.06,IR,1682283144
224,babu,24.4167,111.5167,14.01,95,100,3.46,CN,1682283144
225,chortoq,41.0666,71.8553,15.97,29,88,2.56,UZ,1682283144
226,tash-kumyr,41.3461,72.2171,17.41,36,84,3.11,KG,1682283145
227,anadyr,64.75,177.4833,-4.72,79,40,6.0,RU,1682283145
228,qarqaraly,49.4058,75.4742,7.21,30,41,4.62,KZ,1682283145
229,richards bay,-28.783,32.0377,19.24,81,10,1.46,ZA,1682283145
